CLUSTER ROOT NODE,CLUSTER SIZE
g206,9
g291,9
g372,9
g453,9
g534,9
g594,9
g785,9
g1006,32
g1015,32
g1017,5
g1246,3
g1724,3
g1783,3
g1798,3
g1804,3
g1810,3
g1817,3
g1824,3
g1829,3
g1870,3
g1871,3
g1894,3
g1911,3
g1944,3
g2662,5
g2844,3
g2888,5
g3077,5
g3096,3
g3130,3
g3159,3
g3191,3
g3829,7
g3859,7
g3860,7
g4267,5
g4316,3
g4370,3
g4371,3
g4372,3
g4373,3
g4655,12
g4657,21
g4660,8
g4661,8
g4663,8
g4664,8
g5143,9
g5164,14
g5571,3
g5669,11
g5678,11
g5682,11
g5684,11
g5687,11
g5729,11
g6207,13
g6212,13
g6223,12
g6236,13
g6269,3
g6425,13
g6648,13
g6653,13
g6675,14
g6849,32
g6850,14
g6895,14
g6909,3
g7048,16
g7063,15
g7103,24
g7283,32
g7284,32
g7285,32
g7286,32
g7287,32
g7288,32
g7289,32
g7290,32
g7291,32
g7292,32
g7293,32
g7294,32
g7295,32
g7298,25
g7423,3
g7424,3
g7425,3
g7474,26
g7504,21
g7505,21
g7506,21
g7507,21
g7508,21
g7514,25
g7729,23
g7730,23
g7731,23
g7732,22
g8216,23
g8217,23
g8218,23
g8219,24
g8234,28
g8661,25
g8663,25
g8872,32
g8958,32
g9128,32
g9132,32
g9204,32
g9280,32
g9297,32
g9299,32
g9305,32
g9308,32
g9310,32
g9312,32
g9314,32
g9378,32
g6302[OL],14
g6301[OL],14
g6300[OL],14
g6298[OL],14
g6297[OL],14
g6296[OL],14
g6295[OL],14
g6294[OL],14
g6293[OL],14
g6292[OL],14
g8662[OL],27
g6290[OL],14
g6288[OL],14
g9376[OL],32
g9375[OL],32
g9374[OL],32
g9373[OL],32
g9372[OL],32
g9361[OL],32
g9360[OL],32
g9362[OL],32
g6299[OL],14
g6291[OL],14
g6289[OL],14
g9389[OL],32
g8955[OL],32
g6308[OL],14
g6307[OL],14
g6306[OL],14
g6305[OL],14
g6304[OL],14
g6303[OL],14
g5173[OL],11
g5174[OL],17
g5736[OL],25
g6377[OL],26
g6378[OL],29
g6379[OL],32
g6857[OL],32
g6858[OL],32
g6859[OL],32
g7108[OL],32
g7109[OL],32
g7110[OL],32
g7300[OL],32
g1235[OL],4
gbuf1[OL],3
gbuf2[OL],3
g2659[OL],4
gbuf3[OL],3
g2660[OL],6
g6383[OL],19
g6384[OL],25
g7112[OL],30
g7301[OL],32
g7527[OL],32
g7302[OL],32
g7303[OL],32
g7304[OL],32
g5741[OL],32
g6385[OL],15
gbuf4[OL],3
gbuf5[OL],3
gbuf6[OL],3
gbuf7[OL],3
gbuf8[OL],3
g3858[OL],7
g6862[OL],19
g6863[OL],25
g6864[OL],28
g6865[OL],31
g7119[OL],32
g7528[OL],32
g7529[OL],32
g7530[OL],32
g7768[OL],32
g8675[OL],32
g8676[OL],32
g8677[OL],32
g6373[OL],14
gbuf9[OL],3
gbuf10[OL],3
gbuf11[OL],3
g6374[OL],14
gbuf12[OL],3
gbuf13[OL],3
