CLUSTER ROOT NODE,CLUSTER SIZE
g2584,8
g3222,9
g3600,11
g4307,13
g4321,13
g4422,13
g4809,17
g5137,21
g5468,23
g5469,23
g5692,28
g6282,32
g6284,32
g6360,32
g6362,32
g6364,32
g6366,32
g6368,32
g6370,32
g6372,32
g6374,32
g6728,32
g1290,5
g4121,17
g4108,13
g4106,13
g4103,13
g1293,5
g4099,13
g4102,13
g4109,13
g4100,13
g4112,13
g4105,13
g4101,13
g4110,13
g4104,13
g4107,13
g4098,13
g4130[OL],14
g6823[OL],32
g6940[OL],32
g6102[OL],32
g4147[OL],14
g4841[OL],32
g6725[OL],32
g3232[OL],10
g4119[OL],20
g4141[OL],14
g6726[OL],32
g6507[OL],32
g6590[OL],32
g3231[OL],10
g5330[OL],32
g5147[OL],29
g4839[OL],26
g6105[OL],32
g5138[OL],32
g4122[OL],21
g6827[OL],32
g6745[OL],32
g6405[OL],32
g6729[OL],32
g6595[OL],32
g6826[OL],32
g4134[OL],14
g6599[OL],32
g4857[OL],27
g6406[OL],32
g5148[OL],29
g4117[OL],20
g6582[OL],32
g3229[OL],10
g5700[OL],32
g4136[OL],14
g4858[OL],27
g5876[OL],32
g3239[OL],10
g5698[OL],32
g5328[OL],31
g4133[OL],14
g4847[OL],32
g5877[OL],32
g6597[OL],32
g4120[OL],20
g3235[OL],10
g4137[OL],14
g6407[OL],32
g5470[OL],32
g6841[OL],32
g4149[OL],14
g6101[OL],32
g4844[OL],32
g4113[OL],20
g6504[OL],32
g3224[OL],10
g4855[OL],32
g4424[OL],23
g5582[OL],32
g6502[OL],32
g6107[OL],32
g5472[OL],32
g6602[OL],32
g5581[OL],32
g6587[OL],32
g4145[OL],14
g2585[OL],9
g4842[OL],32
g2586[OL],9
g1291[OL],6
g4118[OL],20
g3225[OL],10
g4853[OL],32
g4849[OL],32
g6512[OL],32
g3233[OL],10
g4851[OL],32
g4856[OL],32
g6854[OL],32
g1831[OL],7
g4843[OL],32
g6510[OL],32
g6591[OL],32
g4846[OL],32
g1288[OL],6
g5478[OL],32
g6840[OL],32
g6594[OL],32
g5580[OL],32
g6853[OL],32
g4840[OL],26
g4150[OL],14
g5490[OL],32
g6511[OL],32
g4142[OL],14
g4845[OL],32
g5694[OL],32
g6722[OL],32
g4139[OL],14
g5480[OL],32
g5697[OL],32
g6498[OL],32
g4126[OL],14
g5471[OL],32
g6505[OL],32
g6588[OL],32
g5475[OL],32
g4148[OL],14
g6501[OL],32
g6506[OL],32
g4135[OL],14
g5479[OL],32
g6824[OL],32
g3240[OL],10
g5476[OL],32
g3230[OL],10
g6721[OL],32
g3227[OL],10
g6925[OL],32
g5477[OL],32
g5489[OL],32
g4131[OL],14
g6727[OL],32
g4140[OL],14
g6842[OL],32
g4423[OL],24
g6723[OL],32
g6724[OL],32
g4132[OL],14
g6401[OL],32
g5491[OL],32
g4127[OL],14
g6278[OL],32
g6106[OL],32
g6744[OL],32
g6404[OL],32
g4138[OL],14
g3228[OL],10
g1289[OL],6
g4123[OL],17
g4658[OL],25
g5878[OL],32
g4125[OL],14
g4124[OL],21
g5874[OL],32
g6103[OL],32
g1294[OL],6
g1292[OL],6
g4115[OL],20
g6584[OL],32
g6596[OL],32
g3226[OL],10
g2587[OL],9
g4657[OL],25
g6589[OL],32
g3234[OL],10
g3238[OL],10
g6592[OL],32
g5473[OL],32
g4114[OL],20
g6800[OL],32
g5141[OL],32
g4854[OL],32
g6839[OL],32
g5699[OL],32
g3236[OL],10
g6601[OL],32
g5875[OL],32
g4425[OL],17
g5329[OL],31
g5695[OL],32
g6499[OL],32
g6825[OL],32
g5693[OL],32
g4850[OL],32
g3237[OL],10
g6497[OL],32
g6100[OL],32
g6509[OL],32
g4128[OL],14
g4116[OL],20
g6503[OL],32
g3241[OL],10
g6277[OL],32
g5139[OL],32
g6598[OL],32
g6600[OL],32
g4129[OL],14
g6593[OL],32
