CLUSTER ROOT NODE,CLUSTER SIZE
SO_19_,32
SO_18_,32
SO_17_,32
SO_16_,32
SO_15_,32
SO_14_,32
SO_13_,32
SO_12_,32
SO_11_,32
SO_10_,32
SO_9_,32
SO_8_,32
SO_7_,32
SO_6_,32
SO_5_,32
SO_4_,32
SO_3_,32
SO_2_,32
SO_1_,27
SO_0_,12
RD,9
WR,9
U4382[OL],32
U4408[OL],32
U5349[OL],32
U12934[OL],32
U12935[OL],32
U1923[OL],32
U2135[OL],32
U12936[OL],32
U12937[OL],32
U4377[OL],32
U5390[OL],32
U4395[OL],32
U4381[OL],32
U1925[OL],32
U4400[OL],32
U12938[OL],32
U4389[OL],32
U2101[OL],32
U4693[OL],32
U1949[OL],32
U12939[OL],32
U442[OL],32
U2137[OL],32
U1930[OL],32
U1933[OL],32
U1967[OL],32
U1927[OL],32
U4586[OL],32
U4513[OL],32
U5418[OL],32
U6513[OL],32
U4374[OL],32
U13646[OL],32
U13645[OL],32
U12904[OL],32
U12905[OL],32
U12906[OL],32
U12907[OL],32
U12908[OL],32
U12909[OL],32
U12910[OL],32
U12911[OL],32
U12912[OL],32
U12913[OL],32
U12914[OL],32
U12915[OL],32
U12916[OL],32
U12917[OL],32
U12918[OL],32
U12919[OL],32
U12920[OL],32
U12921[OL],32
U12922[OL],32
U12923[OL],32
U12924[OL],32
U12925[OL],32
U12926[OL],32
U12927[OL],32
U12928[OL],32
U12929[OL],32
U12930[OL],32
U12931[OL],32
U12932[OL],32
U12933[OL],32
U13644[OL],32
U13643[OL],32
U13642[OL],32
U13641[OL],32
U13640[OL],32
U13639[OL],32
U13638[OL],32
U13637[OL],32
U13636[OL],32
U13635[OL],32
U13634[OL],32
U13633[OL],32
U13632[OL],32
U13631[OL],32
U13630[OL],32
U13629[OL],32
U13628[OL],32
U13627[OL],32
U13626[OL],32
U13625[OL],32
U13624[OL],32
U13623[OL],32
U6512[OL],32
U6511[OL],32
U6510[OL],32
U6509[OL],32
U6508[OL],32
U6507[OL],32
U6506[OL],32
U3538[OL],32
U6505[OL],32
U6504[OL],32
U13622[OL],32
U13621[OL],32
U13620[OL],32
U13619[OL],32
U13618[OL],32
U13617[OL],32
U13616[OL],32
U13615[OL],32
U13614[OL],32
U13613[OL],32
U13612[OL],32
U13611[OL],32
U13610[OL],32
U13609[OL],32
U13608[OL],32
U13607[OL],32
U13606[OL],32
U13605[OL],32
U13604[OL],32
U13603[OL],32
U13602[OL],32
U13601[OL],32
U6503[OL],32
U6502[OL],32
U6501[OL],32
U6500[OL],32
U6499[OL],32
U6498[OL],32
U6497[OL],32
U3540[OL],32
U6496[OL],32
U6495[OL],32
U2093[OL],32
U2053[OL],32
U4874[OL],32
U12855[OL],32
U12863[OL],32
U2247[OL],32
U2245[OL],32
U2250[OL],32
U2249[OL],32
U12864[OL],32
U12854[OL],32
U12869[OL],32
U12859[OL],32
