NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE
P1_ADDR_REG_19_[IL],Y,N,0,0,1
U9669,N,N,1,1,2
P2_ADDR_REG_19_[IL],Y,N,0,0,1
U2252,N,N,1,2,4
U11478,N,N,1,2,4
P2_ADDR_REG_18_[IL],Y,N,0,0,1
P2_ADDR_REG_17_[IL],Y,N,0,0,1
P2_ADDR_REG_16_[IL],Y,N,0,0,1
P2_ADDR_REG_15_[IL],Y,N,0,0,1
P2_ADDR_REG_14_[IL],Y,N,0,0,1
P2_ADDR_REG_13_[IL],Y,N,0,0,1
P2_ADDR_REG_12_[IL],Y,N,0,0,1
P2_ADDR_REG_11_[IL],Y,N,0,0,1
P2_ADDR_REG_10_[IL],Y,N,0,0,1
P2_ADDR_REG_9_[IL],Y,N,0,0,1
P2_ADDR_REG_8_[IL],Y,N,0,0,1
P2_ADDR_REG_7_[IL],Y,N,0,0,1
P2_ADDR_REG_6_[IL],Y,N,0,0,1
P2_ADDR_REG_5_[IL],Y,N,0,0,1
P2_ADDR_REG_4_[IL],Y,N,0,0,1
P2_ADDR_REG_3_[IL],Y,N,0,0,1
P2_ADDR_REG_2_[IL],Y,N,0,0,1
P1_ADDR_REG_1_[IL],Y,N,0,0,1
P1_ADDR_REG_0_[IL],Y,N,0,0,1
P2_ADDR_REG_0_[IL],Y,N,0,0,1
U9616,N,N,1,1,3
U10000,N,N,1,2,4
U9642,N,N,1,3,6
P2_ADDR_REG_1_[IL],Y,N,0,0,1
U9617,N,N,1,1,2
U10001,N,N,1,2,6
U10002,N,N,1,3,8
U9618,N,N,1,4,11
U10006,N,N,1,5,13
P1_ADDR_REG_2_[IL],Y,N,0,0,1
U10003,N,N,1,5,12
U9620,N,N,1,1,2
U10004,N,N,1,6,15
U10005,N,N,1,7,16
U9621,N,N,1,8,16
U10010,N,N,1,10,16
P1_ADDR_REG_3_[IL],Y,N,0,0,1
U10007,N,N,1,10,16
U9623,N,N,1,1,2
U10008,N,N,1,11,16
U10009,N,N,1,14,16
U9624,N,N,1,15,16
U10014,N,N,1,16,16
P1_ADDR_REG_4_[IL],Y,N,0,0,1
U10011,N,N,1,16,16
U9626,N,N,1,1,2
U10012,N,N,1,17,16
U10013,N,N,1,18,16
U9627,N,N,1,19,16
U10018,N,N,1,20,16
P1_ADDR_REG_5_[IL],Y,N,0,0,1
U10015,N,N,1,20,16
U9629,N,N,1,1,2
U10016,N,N,1,21,16
U10017,N,N,1,22,16
U9630,N,N,1,23,16
U10022,N,N,1,24,16
P1_ADDR_REG_6_[IL],Y,N,0,0,1
U10019,N,N,1,24,16
U9632,N,N,1,1,2
U10020,N,N,1,25,16
U10021,N,N,1,27,16
U9633,N,N,1,28,16
U10026,N,N,1,29,16
P1_ADDR_REG_7_[IL],Y,N,0,0,1
U10023,N,N,1,29,16
U9635,N,N,1,1,2
U10024,N,N,1,30,16
U10025,N,N,1,33,16
U9636,N,N,1,34,16
U10030,N,N,1,35,16
P1_ADDR_REG_8_[IL],Y,N,0,0,1
U10027,N,N,1,35,16
U9638,N,N,1,1,2
U10028,N,N,1,36,16
U10029,N,N,1,37,16
U9641,N,N,1,38,16
U10034,N,N,1,39,16
P1_ADDR_REG_9_[IL],Y,N,0,0,1
U10031,N,N,1,39,16
U9640,N,N,1,1,2
U10032,N,N,1,40,16
U10033,N,N,1,41,16
U9643,N,N,1,42,16
U10038,N,N,1,44,16
P1_ADDR_REG_10_[IL],Y,N,0,0,1
U10035,N,N,1,44,16
U9645,N,N,1,1,2
U10036,N,N,1,45,16
U10037,N,N,1,46,16
U9646,N,N,1,47,16
U10042,N,N,1,48,16
P1_ADDR_REG_11_[IL],Y,N,0,0,1
U10039,N,N,1,48,16
U9648,N,N,1,1,2
U10040,N,N,1,50,16
U10041,N,N,1,52,16
U9649,N,N,1,53,16
U10046,N,N,1,54,16
P1_ADDR_REG_12_[IL],Y,N,0,0,1
U10043,N,N,1,54,16
U9651,N,N,1,1,2
U10044,N,N,1,55,16
U10045,N,N,1,56,16
U9652,N,N,1,57,16
U10050,N,N,1,58,16
P1_ADDR_REG_13_[IL],Y,N,0,0,1
U10047,N,N,1,58,16
U9654,N,N,1,1,2
U10048,N,N,1,59,16
U10049,N,N,1,60,16
U9655,N,N,1,62,16
U10054,N,N,1,63,16
P1_ADDR_REG_14_[IL],Y,N,0,0,1
U10051,N,N,1,63,16
U9657,N,N,1,1,2
U10052,N,N,1,64,16
U10053,N,N,1,65,16
U9658,N,N,1,66,16
U10058,N,N,1,68,16
P1_ADDR_REG_15_[IL],Y,N,0,0,1
U10055,N,N,1,68,16
U9660,N,N,1,1,2
U10056,N,N,1,69,16
U10057,N,N,1,71,16
U9661,N,N,1,72,16
U10062,N,N,1,73,16
P1_ADDR_REG_16_[IL],Y,N,0,0,1
U10059,N,N,1,73,16
U9663,N,N,1,1,2
U10060,N,N,1,74,16
U10061,N,N,1,75,16
U9664,N,N,1,76,16
U10066,N,N,1,77,16
P1_ADDR_REG_17_[IL],Y,N,0,0,1
U10063,N,N,1,77,16
U9666,N,N,1,1,2
U10064,N,N,1,78,16
U10065,N,N,1,80,16
U9668,N,N,1,81,16
U10074,N,N,1,82,16
P1_ADDR_REG_18_[IL],Y,N,0,0,1
U10067,N,N,1,82,16
U9667,N,N,1,1,2
U10072,N,N,1,83,16
U10073,N,N,1,84,16
U10075,N,N,1,86,16
U10070,N,N,1,83,16
U11477,N,N,1,3,6
U10068,N,N,1,82,16
U9670,N,N,1,1,2
U10069,N,N,1,83,16
U10071,N,N,1,85,16
U9613,N,N,1,88,16
SO_19_,N,Y,1,89,16
U11482,N,N,1,2,4
U11481,N,N,1,2,4
U11483,N,N,1,3,7
U11485,N,N,1,83,16
U11480,N,N,1,2,4
U11479,N,N,1,2,4
U11484,N,N,1,82,16
U9812,N,N,1,84,16
SO_18_,N,Y,1,86,16
U9665,N,N,1,1,2
U11489,N,N,1,2,4
U11488,N,N,1,2,4
U11490,N,N,1,3,7
U11492,N,N,1,78,16
U11487,N,N,1,2,4
U11486,N,N,1,2,4
U11491,N,N,1,77,16
U9813,N,N,1,80,16
SO_17_,N,Y,1,81,16
U9662,N,N,1,1,2
U11496,N,N,1,2,4
U11495,N,N,1,2,4
U11497,N,N,1,3,7
U11499,N,N,1,74,16
U11494,N,N,1,2,4
U11493,N,N,1,2,4
U11498,N,N,1,73,16
U9814,N,N,1,75,16
SO_16_,N,Y,1,76,16
U9659,N,N,1,1,2
U11503,N,N,1,2,4
U11502,N,N,1,2,4
U11504,N,N,1,3,7
U11506,N,N,1,69,16
U11501,N,N,1,2,4
U11500,N,N,1,2,4
U11505,N,N,1,68,16
U9815,N,N,1,71,16
SO_15_,N,Y,1,72,16
U9656,N,N,1,1,2
U11510,N,N,1,2,4
U11509,N,N,1,2,4
U11511,N,N,1,3,7
U11513,N,N,1,64,16
U11508,N,N,1,2,4
U11507,N,N,1,2,4
U11512,N,N,1,63,16
U9816,N,N,1,65,16
SO_14_,N,Y,1,66,16
U9653,N,N,1,1,2
U11517,N,N,1,2,4
U11516,N,N,1,2,4
U11518,N,N,1,3,7
U11520,N,N,1,59,16
U11515,N,N,1,2,4
U11514,N,N,1,2,4
U11519,N,N,1,58,16
U9817,N,N,1,61,16
SO_13_,N,Y,1,62,16
U9650,N,N,1,1,2
U11524,N,N,1,2,4
U11523,N,N,1,2,4
U11525,N,N,1,3,7
U11527,N,N,1,55,16
U11522,N,N,1,2,4
U11521,N,N,1,2,4
U11526,N,N,1,54,16
U9818,N,N,1,56,16
SO_12_,N,Y,1,57,16
U9647,N,N,1,1,2
U11531,N,N,1,2,4
U11530,N,N,1,2,4
U11532,N,N,1,3,7
U11534,N,N,1,50,16
U11529,N,N,1,2,4
U11528,N,N,1,2,4
U11533,N,N,1,48,16
U9819,N,N,1,52,16
SO_11_,N,Y,1,53,16
U9644,N,N,1,1,2
U11538,N,N,1,2,4
U11537,N,N,1,2,4
U11539,N,N,1,3,7
U11541,N,N,1,45,16
U11536,N,N,1,2,4
U11535,N,N,1,2,4
U11540,N,N,1,44,16
U9820,N,N,1,46,16
SO_10_,N,Y,1,47,16
U9639,N,N,1,1,2
U11419,N,N,1,2,4
U11418,N,N,1,2,4
U11420,N,N,1,3,7
U11422,N,N,1,40,16
U11417,N,N,1,2,4
U11416,N,N,1,2,4
U11421,N,N,1,39,16
U9804,N,N,1,41,16
SO_9_,N,Y,1,42,16
U9637,N,N,1,1,2
U11426,N,N,1,2,4
U11425,N,N,1,2,4
U11427,N,N,1,3,7
U11429,N,N,1,36,16
U11424,N,N,1,2,4
U11423,N,N,1,2,4
U11428,N,N,1,35,16
U9805,N,N,1,37,16
SO_8_,N,Y,1,38,16
U9634,N,N,1,1,2
U11433,N,N,1,2,4
U11432,N,N,1,2,4
U11434,N,N,1,3,7
U11436,N,N,1,30,16
U11431,N,N,1,2,4
U11430,N,N,1,2,4
U11435,N,N,1,29,16
U9806,N,N,1,33,16
SO_7_,N,Y,1,34,16
U9631,N,N,1,1,2
U11440,N,N,1,2,4
U11439,N,N,1,2,4
U11441,N,N,1,3,7
U11443,N,N,1,25,16
U11438,N,N,1,2,4
U11437,N,N,1,2,4
U11442,N,N,1,24,16
U9807,N,N,1,27,16
SO_6_,N,Y,1,28,16
U9628,N,N,1,1,2
U11447,N,N,1,2,4
U11446,N,N,1,2,4
U11448,N,N,1,3,7
U11450,N,N,1,21,16
U11445,N,N,1,2,4
U11444,N,N,1,2,4
U11449,N,N,1,20,16
U9808,N,N,1,22,16
SO_5_,N,Y,1,23,16
U9625,N,N,1,1,2
U11454,N,N,1,2,4
U11453,N,N,1,2,4
U11455,N,N,1,3,7
U11457,N,N,1,17,16
U11452,N,N,1,2,4
U11451,N,N,1,2,4
U11456,N,N,1,16,16
U9809,N,N,1,18,16
SO_4_,N,Y,1,19,16
U9622,N,N,1,1,2
U11461,N,N,1,2,4
U11460,N,N,1,2,4
U11462,N,N,1,3,7
U11464,N,N,1,11,16
U11459,N,N,1,2,4
U11458,N,N,1,2,4
U11463,N,N,1,10,16
U9810,N,N,1,14,16
SO_3_,N,Y,1,15,16
U9619,N,N,1,1,2
U11468,N,N,1,2,4
U11467,N,N,1,2,4
U11469,N,N,1,3,7
U11471,N,N,1,7,16
U11466,N,N,1,2,4
U11465,N,N,1,2,4
U11470,N,N,1,6,16
U9811,N,N,1,8,16
SO_2_,N,Y,1,9,16
U9615,N,N,1,1,2
U11473,N,N,1,3,7
U11472,N,N,1,2,5
U11474,N,N,1,4,9
U11476,N,N,1,5,12
U11475,N,N,1,2,7
U2255,N,N,1,4,9
U9612,N,N,1,6,16
SO_1_,N,Y,1,7,16
U9614,N,N,1,1,2
U2254,N,N,1,2,4
U11542,N,N,1,2,4
U9803,N,N,1,3,6
SO_0_,N,Y,1,4,7
P2_RD_REG[IL],Y,N,0,0,1
P1_RD_REG[IL],Y,N,0,0,1
U2632,N,N,1,1,2
U2563,N,N,1,2,4
U2564,N,N,1,2,4
U3556,N,N,1,3,6
RD,N,Y,1,4,7
P1_WR_REG[IL],Y,N,0,0,1
U9971,N,N,1,1,2
P2_WR_REG[IL],Y,N,0,0,1
U2253,N,N,1,2,4
U11415,N,N,1,2,4
U9972,N,N,1,3,6
WR,N,Y,1,4,7
P1_IR_REG_0_[IL],Y,N,0,0,1
P1_STATE_REG[IL],Y,N,0,0,1
P1_IR_REG_31_[IL],Y,N,0,0,1
U3420,N,N,1,1,2
U9802,N,N,1,2,4
U9801,N,N,1,1,3
U11410,N,N,1,3,6
U11411,N,N,1,4,8
U9501,N,N,1,1,2
P2_DATAO_REG_0_[IL],Y,N,0,0,1
SI_0_,Y,N,0,0,1
U4112,N,N,1,1,2
U8524,N,N,1,2,4
U2053,N,N,1,2,4
U8525,N,N,1,3,6
U2631,N,N,1,1,4
U2562,N,N,1,1,2
U2559,N,N,1,2,5
U2561,N,N,1,3,8
U8527,N,N,1,4,15
U2560,N,N,1,3,8
U8526,N,N,1,4,10
U8528,N,N,1,7,16
U8381,N,N,1,8,16
U3362,N,N,1,9,16
U3362[OL],N,Y,1,10,16
U2357,N,N,1,4,11
P2_DATAO_REG_1_[IL],Y,N,0,0,1
SI_1_,Y,N,0,0,1
U421,N,N,1,4,11
P1_DATAO_REG_1_[IL],Y,N,0,0,1
U420,N,N,1,4,11
U2659,N,N,1,5,15
U5412,N,N,1,4,10
U4124,N,N,1,1,2
U5413,N,N,1,4,10
U4125,N,N,1,5,16
U5206,N,N,1,6,16
U462,N,N,1,4,11
P1_DATAO_REG_0_[IL],Y,N,0,0,1
U461,N,N,1,4,11
U2729,N,N,1,5,15
U5359,N,N,1,6,16
U2251,N,N,1,10,16
U8517,N,N,1,10,16
U8518,N,N,1,11,16
U8380,N,N,1,12,16
U9992,N,N,1,3,5
P1_IR_REG_1_[IL],Y,N,0,0,1
U11409,N,N,1,4,7
U9993,N,N,1,2,4
U3237,N,N,1,1,2
U12292,N,N,1,2,4
U5207,N,N,1,1,2
U6821,N,N,1,2,4
U3686,N,N,1,3,7
U11407,N,N,1,4,12
U3953,N,N,1,4,11
U11408,N,N,1,5,13
U5196,N,N,1,8,16
U3386,N,N,1,13,16
U3386[OL],N,Y,1,14,16
P2_DATAO_REG_2_[IL],Y,N,0,0,1
U8441,N,N,1,4,10
P1_DATAO_REG_2_[IL],Y,N,0,0,1
U8440,N,N,1,4,10
U4766,N,N,1,5,14
SI_2_,Y,N,0,0,1
U4123,N,N,1,1,2
U8536,N,N,1,6,16
U831,N,N,1,5,15
U5463,N,N,1,9,16
U1328,N,N,1,10,16
U5414,N,N,1,6,16
U553,N,N,1,4,11
U463,N,N,1,4,11
U2892,N,N,1,5,15
U405,N,N,1,5,16
U4902,N,N,1,6,16
U5462,N,N,1,10,16
U8379,N,N,1,11,16
P1_IR_REG_2_[IL],Y,N,0,0,1
U11406,N,N,1,4,7
U10633,N,N,1,1,3
U10634,N,N,1,2,5
U9715,N,N,1,1,4
U11404,N,N,1,3,11
U11405,N,N,1,5,13
U5195,N,N,1,7,16
U4033,N,N,1,12,16
U4033[OL],N,Y,1,13,16
P1_IR_REG_3_[IL],Y,N,0,0,1
U11403,N,N,1,4,7
U11414,N,N,1,2,5
U9748,N,N,1,1,2
U12291,N,N,1,3,8
U12290,N,N,1,2,6
U11401,N,N,1,4,14
P2_DATAO_REG_3_[IL],Y,N,0,0,1
U11402,N,N,1,5,13
U8438,N,N,1,4,10
P1_DATAO_REG_3_[IL],Y,N,0,0,1
U8437,N,N,1,4,10
U4765,N,N,1,5,14
SI_3_,Y,N,0,0,1
U4126,N,N,1,1,2
U8513,N,N,1,6,16
U2644,N,N,1,5,14
U8512,N,N,1,6,16
U8514,N,N,1,7,16
U5442,N,N,1,10,16
U5443,N,N,1,11,16
U5444,N,N,1,12,16
U8515,N,N,1,6,16
U1330,N,N,1,11,16
U2926,N,N,1,13,16
U3383,N,N,1,14,16
U9556,N,N,1,15,16
U9556[OL],N,Y,1,16,16
P2_DATAO_REG_4_[IL],Y,N,0,0,1
SI_4_,Y,N,0,0,1
U477,N,N,1,4,11
P1_DATAO_REG_4_[IL],Y,N,0,0,1
U476,N,N,1,4,11
U2761,N,N,1,5,15
U5416,N,N,1,6,16
U840,N,N,1,6,16
U8406,N,N,1,8,16
U5411,N,N,1,6,16
U5415,N,N,1,10,16
U5209,N,N,1,11,16
U8445,N,N,1,4,10
U8444,N,N,1,4,10
U4769,N,N,1,5,14
U2052,N,N,1,6,16
U828,N,N,1,12,16
U4127,N,N,1,1,2
U8539,N,N,1,6,16
U2051,N,N,1,6,16
U829,N,N,1,11,16
U3025,N,N,1,13,16
U8378,N,N,1,14,16
P1_IR_REG_4_[IL],Y,N,0,0,1
U2249,N,N,1,2,7
U2250,N,N,1,3,8
U10635,N,N,1,3,8
U10636,N,N,1,4,10
U8377,N,N,1,6,16
U11400,N,N,1,4,7
U11399,N,N,1,5,13
U5194,N,N,1,8,16
U4060,N,N,1,15,16
U4060[OL],N,Y,1,16,16
U1324,N,N,1,11,16
P2_DATAO_REG_5_[IL],Y,N,0,0,1
U8443,N,N,1,4,10
P1_DATAO_REG_5_[IL],Y,N,0,0,1
U8442,N,N,1,4,10
U4768,N,N,1,5,14
SI_5_,Y,N,0,0,1
U2429,N,N,1,6,16
U2430,N,N,1,9,16
U2433,N,N,1,6,16
U1323,N,N,1,12,16
U4128,N,N,1,1,2
U2432,N,N,1,6,16
U2050,N,N,1,6,16
U2620,N,N,1,12,16
U1325,N,N,1,13,16
U2802,N,N,1,14,16
U8376,N,N,1,15,16
U11397,N,N,1,5,13
P1_IR_REG_5_[IL],Y,N,0,0,1
U11398,N,N,1,4,7
U9745,N,N,1,1,2
U12289,N,N,1,3,10
U3692,N,N,1,4,10
U11396,N,N,1,6,16
U5193,N,N,1,8,16
U3977,N,N,1,16,16
U3977[OL],N,Y,1,17,16
P2_DATAO_REG_6_[IL],Y,N,0,0,1
U11394,N,N,1,5,13
P1_IR_REG_6_[IL],Y,N,0,0,1
U11395,N,N,1,4,7
U9740,N,N,1,1,2
U9735,N,N,1,3,12
U10631,N,N,1,3,10
U10632,N,N,1,4,12
U11393,N,N,1,6,16
U479,N,N,1,4,11
U478,N,N,1,4,11
U1336,N,N,1,6,16
U2428,N,N,1,9,16
U485,N,N,1,11,16
U2774,N,N,1,10,16
U2773,N,N,1,12,16
U2772,N,N,1,13,16
SI_6_,Y,N,0,0,1
U366,N,N,1,4,11
P1_DATAO_REG_6_[IL],Y,N,0,0,1
U365,N,N,1,4,11
U1767,N,N,1,5,15
U2417,N,N,1,1,2
U8447,N,N,1,4,10
U8446,N,N,1,4,10
U400,N,N,1,5,16
U2435,N,N,1,6,16
U5514,N,N,1,14,16
U2434,N,N,1,6,16
U2621,N,N,1,12,16
U4151,N,N,1,13,16
U5878,N,N,1,14,16
U2789,N,N,1,15,16
U4057,N,N,1,16,16
U9557,N,N,1,17,16
U9557[OL],N,Y,1,19,16
P2_DATAO_REG_7_[IL],Y,N,0,0,1
U2565,N,N,1,4,10
P1_DATAO_REG_7_[IL],Y,N,0,0,1
U2421,N,N,1,4,10
U2422,N,N,1,5,14
SI_7_,Y,N,0,0,1
U2419,N,N,1,1,2
U2420,N,N,1,6,16
U2049,N,N,1,6,16
U2436,N,N,1,14,16
U1320,N,N,1,15,16
U2418,N,N,1,5,16
U2431,N,N,1,6,16
U5504,N,N,1,10,16
U2423,N,N,1,6,16
U1321,N,N,1,11,16
U1536,N,N,1,12,16
U2619,N,N,1,13,16
U2445,N,N,1,14,16
U480,N,N,1,16,16
U8375,N,N,1,17,16
P1_IR_REG_7_[IL],Y,N,0,0,1
U5531,N,N,1,4,14
U12288,N,N,1,4,14
U8374,N,N,1,6,16
U11392,N,N,1,4,7
U2567,N,N,1,5,13
U1358,N,N,1,8,16
U4031,N,N,1,18,16
U4031[OL],N,Y,1,19,16
SI_8_,Y,N,0,0,1
P2_DATAO_REG_8_[IL],Y,N,0,0,1
U8449,N,N,1,4,10
P1_DATAO_REG_8_[IL],Y,N,0,0,1
U8448,N,N,1,4,10
U4770,N,N,1,5,14
U4122,N,N,1,6,16
U8450,N,N,1,6,15
U4121,N,N,1,1,2
U5534,N,N,1,7,16
U2427,N,N,1,10,16
U4767,N,N,1,5,14
U1335,N,N,1,6,16
U492,N,N,1,11,16
U2438,N,N,1,13,16
U826,N,N,1,14,16
U8546,N,N,1,6,16
U8545,N,N,1,7,16
U2437,N,N,1,13,16
U827,N,N,1,14,16
U3016,N,N,1,15,16
U8373,N,N,1,16,16
U2048,N,N,1,1,5
P1_IR_REG_8_[IL],Y,N,0,0,1
U2248,N,N,1,2,12
U5532,N,N,1,5,16
U8372,N,N,1,6,16
U11391,N,N,1,4,7
U11390,N,N,1,5,13
U1359,N,N,1,9,16
U4024,N,N,1,17,16
U4024[OL],N,Y,1,18,16
SI_9_,Y,N,0,0,1
P2_DATAO_REG_9_[IL],Y,N,0,0,1
U8452,N,N,1,4,10
P1_DATAO_REG_9_[IL],Y,N,0,0,1
U8451,N,N,1,4,10
U1903,N,N,1,5,14
U1904,N,N,1,6,15
U2047,N,N,1,7,16
U2446,N,N,1,1,2
U2444,N,N,1,6,16
U5410,N,N,1,7,16
U4155,N,N,1,10,16
U2046,N,N,1,11,16
U5547,N,N,1,14,16
U5548,N,N,1,15,16
U2447,N,N,1,7,16
U2443,N,N,1,6,16
U5545,N,N,1,7,16
U5546,N,N,1,14,16
U1318,N,N,1,15,16
U2758,N,N,1,16,16
U8370,N,N,1,17,16
U5530,N,N,1,3,13
P1_IR_REG_9_[IL],Y,N,0,0,1
U5312,N,N,1,1,2
U9467,N,N,1,4,16
U9466,N,N,1,3,14
U8371,N,N,1,6,16
U11389,N,N,1,4,7
U11388,N,N,1,5,13
U5192,N,N,1,9,16
U4026,N,N,1,18,16
U4026[OL],N,Y,1,20,16
P1_IR_REG_10_[IL],Y,N,0,0,1
U9716,N,N,1,1,3
U2045,N,N,1,3,16
U5333,N,N,1,1,2
U6900,N,N,1,6,16
U1201,N,N,1,5,16
U3704,N,N,1,7,16
U11386,N,N,1,8,16
U11387,N,N,1,4,7
U5191,N,N,1,10,16
U1828,N,N,1,9,16
U2442,N,N,1,9,16
U2441,N,N,1,10,16
U2439,N,N,1,11,16
U2440,N,N,1,12,16
P2_DATAO_REG_10_[IL],Y,N,0,0,1
U8454,N,N,1,4,10
P1_DATAO_REG_10_[IL],Y,N,0,0,1
U8453,N,N,1,4,10
U4764,N,N,1,5,14
U8455,N,N,1,6,15
SI_10_,Y,N,0,0,1
U3519,N,N,1,1,2
U5417,N,N,1,7,16
U2618,N,N,1,13,16
U847,N,N,1,13,16
U2576,N,N,1,15,16
U5409,N,N,1,6,16
U2687,N,N,1,7,16
U2686,N,N,1,16,16
U11555,N,N,1,6,16
U11554,N,N,1,7,16
U390,N,N,1,12,16
U5573,N,N,1,14,16
U5572,N,N,1,13,16
U4910,N,N,1,15,16
U3198,N,N,1,17,16
U8559,N,N,1,19,16
U8558,N,N,1,4,10
U8560,N,N,1,20,16
