CLUSTER ROOT NODE,CLUSTER SIZE
g206,9
g291,9
g372,9
g453,9
g534,9
g594,9
g785,9
g1006,16
g1015,16
g1017,5
g1246,3
g1724,3
g1783,3
g1798,3
g1804,3
g1810,3
g1817,3
g1824,3
g1829,3
g1870,3
g1871,3
g1894,3
g1911,3
g1944,3
g2662,5
g2844,3
g2888,5
g3077,5
g3096,3
g3130,3
g3159,3
g3191,3
g3829,7
g3859,7
g3860,7
g4267,5
g4316,3
g4370,3
g4371,3
g4372,3
g4373,3
g4655,12
g4657,16
g4660,8
g4661,8
g4663,8
g4664,8
g5143,9
g5164,14
g5571,3
g5669,11
g5678,11
g5682,11
g5684,11
g5687,11
g5729,11
g6207,13
g6212,13
g6223,12
g6236,13
g6269,3
g6425,13
g6648,13
g6653,13
g6675,14
g6849,16
g6850,14
g6895,14
g6909,3
g7048,16
g7063,15
g7103,16
g7283,16
g7284,16
g7285,16
g7286,16
g7287,16
g7288,16
g7289,16
g7290,16
g7291,16
g7292,16
g7293,16
g7294,16
g7295,16
g7298,16
g7423,3
g7424,3
g7425,3
g7474,16
g7504,16
g7505,16
g7506,16
g7507,16
g7508,16
g7514,16
g7729,16
g7730,16
g7731,16
g7732,16
g8216,16
g8217,16
g8218,16
g8219,16
g8234,16
g8661,16
g8663,16
g8872,16
g8958,16
g9128,16
g9132,16
g9204,16
g9280,16
g9297,16
g9299,16
g9305,16
g9308,16
g9310,16
g9312,16
g9314,16
g9378,16
g6302[OL],14
g6301[OL],14
g6300[OL],14
g6298[OL],14
g6297[OL],14
g6296[OL],14
g6295[OL],14
g6294[OL],14
g6293[OL],14
g6292[OL],14
g8662[OL],16
g6290[OL],14
g6288[OL],14
g9376[OL],16
g9375[OL],16
g9374[OL],16
g9373[OL],16
g9372[OL],16
g9361[OL],16
g9360[OL],16
g9362[OL],16
g6299[OL],14
g6291[OL],14
g6289[OL],14
g9389[OL],16
g8955[OL],16
g6308[OL],14
g6307[OL],14
g6306[OL],14
g6305[OL],14
g6304[OL],14
g6303[OL],14
g5173[OL],11
g5174[OL],16
g5736[OL],16
g6377[OL],16
g6378[OL],16
g6379[OL],16
g6857[OL],16
g6858[OL],16
g6859[OL],16
g7108[OL],16
g7109[OL],16
g7110[OL],16
g7300[OL],16
g1235[OL],4
gbuf1[OL],3
gbuf2[OL],3
g2659[OL],4
gbuf3[OL],3
g2660[OL],6
g6383[OL],16
g6384[OL],16
g7112[OL],16
g7301[OL],16
g7527[OL],16
g7302[OL],16
g7303[OL],16
g7304[OL],16
g5741[OL],16
g6385[OL],15
gbuf4[OL],3
gbuf5[OL],3
gbuf6[OL],3
gbuf7[OL],3
gbuf8[OL],3
g3858[OL],7
g6862[OL],16
g6863[OL],16
g6864[OL],16
g6865[OL],16
g7119[OL],16
g7528[OL],16
g7529[OL],16
g7530[OL],16
g7768[OL],16
g8675[OL],16
g8676[OL],16
g8677[OL],16
g6373[OL],14
gbuf9[OL],3
gbuf10[OL],3
gbuf11[OL],3
g6374[OL],14
gbuf12[OL],3
gbuf13[OL],3
