CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
SO_19_,2,U9613 SO_19_ 
U10075,7,U10065 U9668 U10074 U10067 U10072 U10073 U10075 
U10066,7,U9661 U10062 U10059 U10060 U10061 U9664 U10066 
U10058,6,U10054 U10051 U10052 U10053 U9658 U10058 
U9655,8,U10044 U10045 U9652 U10050 U10047 U10048 U10049 U9655 
U10046,8,U10037 U9646 U10042 U10039 U10040 U10041 U9649 U10046 
U10038,7,U9641 U10034 U10031 U10032 U10033 U9643 U10038 
U10030,6,U10026 U10023 U10024 U10025 U9636 U10030 
U9633,8,U10016 U10017 U9630 U10022 U10019 U10020 U10021 U9633 
U10018,8,U10009 U9624 U10014 U10011 U10012 U10013 U9627 U10018 
U10010,7,U9618 U10006 U10003 U10004 U10005 U9621 U10010 
U9642,6,P1_ADDR_REG_1_[IL] P1_ADDR_REG_0_[IL] P2_ADDR_REG_0_[IL] U9616 U10000 U9642 
U10002,8,P2_ADDR_REG_1_[IL] P1_ADDR_REG_1_[IL] U9617 P1_ADDR_REG_0_[IL] P2_ADDR_REG_0_[IL] U9616 U10001 U10002 
U10008,8,U9618 U10006 U10003 U10004 U10005 U9621 U10007 U10008 
U10015,8,U10009 U9624 U10014 U10011 U10012 U10013 U9627 U10015 
U10029,8,U10026 U10023 U10024 U10025 U9636 U10027 U10028 U10029 
U10036,8,U9641 U10034 U10031 U10032 U10033 U9643 U10035 U10036 
U10043,8,U10037 U9646 U10042 U10039 U10040 U10041 U9649 U10043 
U10057,8,U10054 U10051 U10052 U10053 U9658 U10055 U10056 U10057 
U10064,8,U9661 U10062 U10059 U10060 U10061 U9664 U10063 U10064 
U10071,7,U10065 U9668 U10067 U10070 U10068 U10069 U10071 
U11477,6,P1_ADDR_REG_19_[IL] U9669 P2_ADDR_REG_19_[IL] U2252 U11478 U11477 
SO_18_,7,U10065 U9668 U10067 U11485 U11484 U9812 SO_18_ 
U11483,7,P2_ADDR_REG_18_[IL] P1_ADDR_REG_18_[IL] U9670 U11482 U9667 U11481 U11483 
U11480,4,P2_ADDR_REG_18_[IL] P1_ADDR_REG_18_[IL] U9670 U11480 
U11479,4,P1_ADDR_REG_18_[IL] P2_ADDR_REG_18_[IL] U9667 U11479 
SO_17_,2,U9813 SO_17_ 
U11492,8,U9661 U10062 U10059 U10060 U10061 U9664 U10063 U11492 
U11490,7,P2_ADDR_REG_17_[IL] P1_ADDR_REG_17_[IL] U9665 U11489 U9666 U11488 U11490 
U11491,7,U9661 U10062 U10059 U10060 U10061 U9664 U11491 
U11487,4,P2_ADDR_REG_17_[IL] P1_ADDR_REG_17_[IL] U9665 U11487 
U11486,4,P1_ADDR_REG_17_[IL] P2_ADDR_REG_17_[IL] U9666 U11486 
SO_16_,6,U9661 U10059 U11499 U11498 U9814 SO_16_ 
U11497,7,P2_ADDR_REG_16_[IL] P1_ADDR_REG_16_[IL] U9662 U11496 U9663 U11495 U11497 
U11494,4,P2_ADDR_REG_16_[IL] P1_ADDR_REG_16_[IL] U9662 U11494 
U11493,4,P1_ADDR_REG_16_[IL] P2_ADDR_REG_16_[IL] U9663 U11493 
SO_15_,2,U9815 SO_15_ 
U11506,7,U10054 U10051 U10052 U10053 U9658 U10055 U11506 
U11504,7,P2_ADDR_REG_15_[IL] P1_ADDR_REG_15_[IL] U9659 U11503 U9660 U11502 U11504 
U11505,6,U10054 U10051 U10052 U10053 U9658 U11505 
U11501,4,P2_ADDR_REG_15_[IL] P1_ADDR_REG_15_[IL] U9659 U11501 
U11500,4,P1_ADDR_REG_15_[IL] P2_ADDR_REG_15_[IL] U9660 U11500 
SO_14_,5,U10051 U11513 U11512 U9816 SO_14_ 
U11511,7,P2_ADDR_REG_14_[IL] P1_ADDR_REG_14_[IL] U9656 U11510 U9657 U11509 U11511 
U11508,4,P2_ADDR_REG_14_[IL] P1_ADDR_REG_14_[IL] U9656 U11508 
U11507,4,P1_ADDR_REG_14_[IL] P2_ADDR_REG_14_[IL] U9657 U11507 
SO_13_,8,U10044 U10045 U9652 U10047 U11520 U11519 U9817 SO_13_ 
U11518,7,P2_ADDR_REG_13_[IL] P1_ADDR_REG_13_[IL] U9653 U11517 U9654 U11516 U11518 
U11515,4,P2_ADDR_REG_13_[IL] P1_ADDR_REG_13_[IL] U9653 U11515 
U11514,4,P1_ADDR_REG_13_[IL] P2_ADDR_REG_13_[IL] U9654 U11514 
SO_12_,3,U11527 U9818 SO_12_ 
