NODE,PI?,PO?,NODE DELAY,NODE LABEL
P3_DATAO_REG_31_[IL],Y,N,0,0,
DATAO_31_,N,Y,1,0,
P3_DATAO_REG_30_[IL],Y,N,0,0,
DATAO_30_,N,Y,1,0,
P3_DATAO_REG_29_[IL],Y,N,0,0,
DATAO_29_,N,Y,1,0,
P3_DATAO_REG_28_[IL],Y,N,0,0,
DATAO_28_,N,Y,1,0,
P3_DATAO_REG_27_[IL],Y,N,0,0,
DATAO_27_,N,Y,1,0,
P3_DATAO_REG_26_[IL],Y,N,0,0,
DATAO_26_,N,Y,1,0,
P3_DATAO_REG_25_[IL],Y,N,0,0,
DATAO_25_,N,Y,1,0,
P3_DATAO_REG_24_[IL],Y,N,0,0,
DATAO_24_,N,Y,1,0,
P3_DATAO_REG_23_[IL],Y,N,0,0,
DATAO_23_,N,Y,1,0,
P3_DATAO_REG_22_[IL],Y,N,0,0,
DATAO_22_,N,Y,1,0,
P3_DATAO_REG_21_[IL],Y,N,0,0,
DATAO_21_,N,Y,1,0,
P3_DATAO_REG_20_[IL],Y,N,0,0,
DATAO_20_,N,Y,1,0,
P3_DATAO_REG_19_[IL],Y,N,0,0,
DATAO_19_,N,Y,1,0,
P3_DATAO_REG_18_[IL],Y,N,0,0,
DATAO_18_,N,Y,1,0,
P3_DATAO_REG_17_[IL],Y,N,0,0,
DATAO_17_,N,Y,1,0,
P3_DATAO_REG_16_[IL],Y,N,0,0,
DATAO_16_,N,Y,1,0,
P3_DATAO_REG_15_[IL],Y,N,0,0,
DATAO_15_,N,Y,1,0,
P3_DATAO_REG_14_[IL],Y,N,0,0,
DATAO_14_,N,Y,1,0,
P3_DATAO_REG_13_[IL],Y,N,0,0,
DATAO_13_,N,Y,1,0,
P3_DATAO_REG_12_[IL],Y,N,0,0,
DATAO_12_,N,Y,1,0,
P3_DATAO_REG_11_[IL],Y,N,0,0,
DATAO_11_,N,Y,1,0,
P3_DATAO_REG_10_[IL],Y,N,0,0,
DATAO_10_,N,Y,1,0,
P3_DATAO_REG_9_[IL],Y,N,0,0,
DATAO_9_,N,Y,1,0,
P3_DATAO_REG_8_[IL],Y,N,0,0,
DATAO_8_,N,Y,1,0,
P3_DATAO_REG_7_[IL],Y,N,0,0,
DATAO_7_,N,Y,1,0,
P3_DATAO_REG_6_[IL],Y,N,0,0,
DATAO_6_,N,Y,1,0,
P3_DATAO_REG_5_[IL],Y,N,0,0,
DATAO_5_,N,Y,1,0,
P3_DATAO_REG_4_[IL],Y,N,0,0,
DATAO_4_,N,Y,1,0,
P3_DATAO_REG_3_[IL],Y,N,0,0,
DATAO_3_,N,Y,1,0,
P3_DATAO_REG_2_[IL],Y,N,0,0,
DATAO_2_,N,Y,1,0,
P3_DATAO_REG_1_[IL],Y,N,0,0,
DATAO_1_,N,Y,1,0,
P3_DATAO_REG_0_[IL],Y,N,0,0,
DATAO_0_,N,Y,1,0,
P1_ADDRESS_REG_29_[IL],Y,N,0,0,
ADDRESS1_29_,N,Y,1,0,
P1_ADDRESS_REG_28_[IL],Y,N,0,0,
ADDRESS1_28_,N,Y,1,0,
P1_ADDRESS_REG_27_[IL],Y,N,0,0,
ADDRESS1_27_,N,Y,1,0,
P1_ADDRESS_REG_26_[IL],Y,N,0,0,
ADDRESS1_26_,N,Y,1,0,
P1_ADDRESS_REG_25_[IL],Y,N,0,0,
ADDRESS1_25_,N,Y,1,0,
P1_ADDRESS_REG_24_[IL],Y,N,0,0,
ADDRESS1_24_,N,Y,1,0,
P1_ADDRESS_REG_23_[IL],Y,N,0,0,
