CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
SO_19_,2,U13100 SO_19_ 
U13927,8,U13910 U13911 U13173 U13926 U13913 U13924 U13925 U13927 
U13665,7,P3_ADDR_REG_18_[IL] P1_ADDR_REG_18_[IL] U13170 U16386 U13171 U16385 U13665 
U13876,6,U13163 U13874 U2197 U13873 U13167 U13876 
U13872,6,U13155 U13870 U2535 U13869 U13159 U13872 
U13868,6,U13147 U13866 U2533 U13865 U13151 U13868 
U13864,6,U13139 U13862 U2200 U13861 U13143 U13864 
U13860,6,U13131 U13826 U2202 U13825 U13135 U13860 
U13824,6,U13123 U13822 U2203 U13821 U13127 U13824 
U13820,6,U13115 U13818 U2525 U13817 U13119 U13820 
U13816,6,U13107 U13814 U2523 U13813 U13111 U13816 
U13812,8,P3_ADDR_REG_0_[IL] U13103 P1_ADDR_REG_0_[IL] U2746 U2747 P3_ADDR_REG_1_[IL] U13104 U13812 
U13811,8,P1_ADDR_REG_1_[IL] P3_ADDR_REG_0_[IL] U13103 P1_ADDR_REG_0_[IL] U2746 P3_ADDR_REG_1_[IL] U13810 U13811 
U13815,6,U13107 U13814 U2523 U13813 U2205 U13815 
U13819,6,U13115 U13818 U2525 U13817 U2204 U13819 
U13823,7,U13123 U13822 U2203 U13821 U13127 U2528 U13823 
U13859,7,U13131 U13826 U2202 U13825 U13135 U2530 U13859 
U13863,6,U13139 U13862 U2200 U13861 U2199 U13863 
U13867,7,U13147 U13866 U2533 U13865 U13151 U2534 U13867 
U13871,6,U13155 U13870 U2535 U13869 U2198 U13871 
U13875,6,U13163 U13874 U2197 U13873 U2196 U13875 
U13912,8,U13903 U13164 U13908 U13905 U13906 U13907 U13168 U13912 
U13469,8,U13163 U13874 U2197 U13873 U13167 U16362 U2764 U13469 
U13657,6,P3_ADDR_REG_17_[IL] U13166 P1_ADDR_REG_17_[IL] U2537 U16361 U13657 
U13658,6,P3_ADDR_REG_16_[IL] U13162 P1_ADDR_REG_16_[IL] U2536 U16364 U13658 
U13904,7,U13156 U13900 U13897 U13898 U13899 U13160 U13904 
U13471,8,U13155 U13870 U2535 U13869 U13159 U16368 U3110 U13471 
U13659,6,P3_ADDR_REG_15_[IL] U13158 P1_ADDR_REG_15_[IL] U2762 U16367 U13659 
U13660,6,P3_ADDR_REG_14_[IL] U13154 P1_ADDR_REG_14_[IL] U2761 U16370 U13660 
U13896,6,U13892 U13889 U13890 U13891 U13152 U13896 
U13473,8,U13147 U13866 U2533 U13865 U13151 U16374 U3108 U13473 
U13661,6,P3_ADDR_REG_13_[IL] U13150 P1_ADDR_REG_13_[IL] U2760 U16373 U13661 
U13662,6,P3_ADDR_REG_12_[IL] U13146 P1_ADDR_REG_12_[IL] U2532 U16376 U13662 
U13148,8,U13882 U13883 U13144 U13888 U13885 U13886 U13887 U13148 
U13475,8,U13139 U13862 U2200 U13861 U13143 U16380 U2758 U13475 
U13663,6,P3_ADDR_REG_11_[IL] U13142 P1_ADDR_REG_11_[IL] U2531 U16379 U13663 
U13884,8,U13856 U13137 U13880 U13858 U13878 U13879 U13140 U13884 
U13664,6,P3_ADDR_REG_10_[IL] U13138 P1_ADDR_REG_10_[IL] U2757 U16382 U13664 
U13459,8,U13131 U13826 U2202 U13825 U13135 U16274 U2756 U13459 
U13647,6,P3_ADDR_REG_9_[IL] U13134 P1_ADDR_REG_9_[IL] U2529 U16273 U13647 
U13857,7,U13128 U13853 U13850 U13851 U13852 U13132 U13857 
U13648,6,P3_ADDR_REG_8_[IL] U13130 P1_ADDR_REG_8_[IL] U2755 U16281 U13648 
U13461,8,U13123 U13822 U2203 U13821 U13127 U16285 U2754 U13461 
U13649,6,P3_ADDR_REG_7_[IL] U13126 P1_ADDR_REG_7_[IL] U2527 U16284 U13649 
U13849,6,U13845 U13842 U13843 U13844 U13124 U13849 
U13650,6,P3_ADDR_REG_6_[IL] U13122 P1_ADDR_REG_6_[IL] U2526 U16287 U13650 
U13463,8,U13115 U13818 U2525 U13817 U13119 U16291 U3105 U13463 
U13651,6,P3_ADDR_REG_5_[IL] U13118 P1_ADDR_REG_5_[IL] U2752 U16290 U13651 
U13120,8,U13835 U13836 U13116 U13841 U13838 U13839 U13840 U13120 
U13652,6,P3_ADDR_REG_4_[IL] U13114 P1_ADDR_REG_4_[IL] U2524 U16293 U13652 
U13837,7,U13108 U13833 U13830 U13831 U13832 U13112 U13837 
U13465,8,U13107 U13814 U2523 U13813 U13111 U16297 U3104 U13465 
U13653,6,P3_ADDR_REG_3_[IL] U13110 P1_ADDR_REG_3_[IL] U2750 U16296 U13653 
U13654,6,P3_ADDR_REG_2_[IL] U13106 P1_ADDR_REG_2_[IL] U2521 U16299 U13654 
U2201,4,U16303 U2749 U13467 U2201 
P2_ADDR_REG_0_[IL],1,P2_ADDR_REG_0_[IL] 
U13746,7,P3_ADDR_REG_0_[IL] U13103 P1_ADDR_REG_0_[IL] U2746 U2747 U13827 U13746 
U13655,6,P3_ADDR_REG_1_[IL] U13104 P1_ADDR_REG_1_[IL] U2522 U16302 U13655 
U13829,7,U16303 U2749 U13467 U16304 U13105 U13828 U13829 
P2_ADDR_REG_1_[IL],1,P2_ADDR_REG_1_[IL] 
U16298,1,U16298 
U16292,1,U16292 
U13848,8,U13845 U13842 U13843 U13844 U13124 U13846 U13847 U13848 
U13855,8,U13128 U13853 U13850 U13851 U13852 U13132 U13854 U13855 
U16283,5,U13131 U16282 U3106 U13460 U16283 
U13881,8,U13856 U13137 U13880 U13858 U13878 U13879 U13140 U13881 
U16384,5,U13139 U16383 U3107 U13476 U16384 
U13895,8,U13892 U13889 U13890 U13891 U13152 U13893 U13894 U13895 
U16375,1,U16375 
U16372,5,U13155 U16371 U3109 U13472 U16372 
U13902,8,U13156 U13900 U13897 U13898 U13899 U13160 U13901 U13902 
U16369,1,U16369 
U13909,8,U13903 U13164 U13908 U13905 U13906 U13907 U13168 U13909 
U16388,5,U13172 U16387 U2768 U13477 U16388 
U16391,5,U13745 U13919 U16390 U16389 U16391 
U2765,6,U13172 U2767 U13877 U13914 U2766 U2765 
U5172,6,P3_ADDR_REG_19_[IL] P1_ADDR_REG_19_[IL] U13174 U16358 U9500 U5172 
U13918,6,U13172 U13877 U13917 U13915 U13916 U13918 
U13923,8,U13910 U13911 U13173 U13913 U13922 U13920 U13921 U13923 
U13176,2,P2_ADDR_REG_18_[IL] U13176 
U16360,3,U13745 U13919 U16360 
U16359,2,U13745 U16359 
SO_18_,2,U13493 SO_18_ 
U16398,8,U13910 U13911 U13173 U13913 U16395 U16394 U16396 U16398 
U16397,7,U13910 U13911 U13173 U13913 U16393 U16392 U16397 
SO_17_,3,U16405 U13494 SO_17_ 
U16403,4,U16402 U16363 U16401 U16403 
U13169,2,P2_ADDR_REG_17_[IL] U13169 
U16404,8,U13903 U13164 U13908 U13905 U13906 U13907 U13168 U16404 
U16400,1,U16400 
U16399,2,U16363 U16399 
SO_16_,7,U13903 U13164 U13905 U16412 U16411 U13495 SO_16_ 
U16410,8,U13163 U16365 U2763 U13470 U16409 U16366 U16408 U16410 
U13165,2,P2_ADDR_REG_16_[IL] U13165 
U16407,5,U13163 U16365 U2763 U13470 U16407 
U16406,6,U13163 U16365 U2763 U13470 U16366 U16406 
SO_15_,5,U16417 U16419 U16418 U13496 SO_15_ 
U16416,8,U13156 U13900 U13897 U13898 U13899 U13160 U13901 U16416 
U13161,2,P2_ADDR_REG_15_[IL] U13161 
U16415,7,U13156 U13900 U13897 U13898 U13899 U13160 U16415 
U16414,8,U13156 U13900 U13897 U13898 U13899 U13160 U13901 U16414 
U16413,7,U13156 U13900 U13897 U13898 U13899 U13160 U16413 
SO_14_,2,U13497 SO_14_ 
U16426,6,U13156 U13897 U16423 U16422 U16424 U16426 
U13157,2,P2_ADDR_REG_14_[IL] U13157 
U16425,5,U13156 U13897 U16421 U16420 U16425 
SO_13_,5,U16431 U16433 U16432 U13498 SO_13_ 
U16430,7,U13892 U13889 U13890 U13891 U13152 U13893 U16430 
U13153,2,P2_ADDR_REG_13_[IL] U13153 
U16429,6,U13892 U13889 U13890 U13891 U13152 U16429 
U16428,7,U13892 U13889 U13890 U13891 U13152 U13893 U16428 
U16427,6,U13892 U13889 U13890 U13891 U13152 U16427 
SO_12_,5,U13889 U16440 U16439 U13499 SO_12_ 
U16438,8,U13147 U16377 U2759 U13474 U16437 U16378 U16436 U16438 
U13149,2,P2_ADDR_REG_12_[IL] U13149 
U16435,5,U13147 U16377 U2759 U13474 U16435 
U16434,6,U13147 U16377 U2759 U13474 U16378 U16434 
SO_11_,8,U13882 U13883 U13144 U13885 U16447 U16446 U13500 SO_11_ 
U16445,4,U16444 U16381 U16443 U16445 
U13145,2,P2_ADDR_REG_11_[IL] U13145 
U16442,1,U16442 
U16441,2,U16381 U16441 
SO_10_,7,U16451 U16452 U16454 U16449 U16453 U13501 SO_10_ 
U13141,2,P2_ADDR_REG_10_[IL] U13141 
U16450,8,U13856 U13137 U13880 U13858 U13878 U13879 U13140 U16450 
U16448,8,U13856 U13137 U13880 U13858 U13878 U13879 U13140 U16448 
SO_9_,7,U13856 U13137 U13858 U16306 U16305 U13485 SO_9_ 
U16280,4,U16279 U16275 U16278 U16280 
U13136,2,P2_ADDR_REG_9_[IL] U13136 
U16277,1,U16277 
U16276,2,U16275 U16276 
SO_8_,5,U16311 U16313 U16312 U13486 SO_8_ 
U16310,8,U13128 U13853 U13850 U13851 U13852 U13132 U13854 U16310 
U13133,2,P2_ADDR_REG_8_[IL] U13133 
U16309,7,U13128 U13853 U13850 U13851 U13852 U13132 U16309 
U16308,8,U13128 U13853 U13850 U13851 U13852 U13132 U13854 U16308 
U16307,7,U13128 U13853 U13850 U13851 U13852 U13132 U16307 
SO_7_,6,U13128 U13850 U16320 U16319 U13487 SO_7_ 
U16318,4,U16317 U16286 U16316 U16318 
U13129,2,P2_ADDR_REG_7_[IL] U13129 
U16315,1,U16315 
U16314,2,U16286 U16314 
SO_6_,2,U13488 SO_6_ 
U16327,7,U13845 U13842 U13843 U13844 U13124 U13846 U16327 
U16325,8,U13123 U16288 U2753 U13462 U16324 U16289 U16323 U16325 
U13125,2,P2_ADDR_REG_6_[IL] U13125 
U16326,6,U13845 U13842 U13843 U13844 U13124 U16326 
U16322,5,U13123 U16288 U2753 U13462 U16322 
U16321,6,U13123 U16288 U2753 U13462 U16289 U16321 
SO_5_,2,U13489 SO_5_ 
U16334,5,U13842 U16331 U16330 U16332 U16334 
U13121,2,P2_ADDR_REG_5_[IL] U13121 
U16333,4,U13842 U16329 U16328 U16333 
