CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
g206,1,g206 
II5353,8,g1460[IL] II5989 g2246 II6553 g2825 II7302 g3833 II5353 
g291,1,g291 
II5356,8,g1460[IL] II5989 g2246 II6646 g2916 II7314 g3837 II5356 
g372,1,g372 
II5359,8,g1460[IL] II5989 g2246 II6663 g2927 II7320 g3839 II5359 
g453,1,g453 
II5362,8,g1460[IL] II5989 g2246 II6686 g2940 II7326 g3841 II5362 
g534,1,g534 
II5365,8,g1460[IL] II5989 g2246 II6695 g2947 II7332 g3843 II5365 
g594,1,g594 
II5368,8,g1460[IL] II5989 g2246 II6673 g2933 II7362 g3853 II5368 
g785,1,g785 
II5407,8,g888[IL] g2293 g3659 II7417 g3884 II8874 g4653 II5407 
g1006,4,II15184 g8866 II5410 g1006 
g8684,8,g7191 g7406 g7421 g7566 g8009 g8625 II14848 g8684 
g6573,4,g5529 II10555 g5868 g6573 
g4689,8,g43 II5528 g1685 g2816 II8452 g4444 II8966 g4689 
g1860,2,g162[IL] g1860 
g4677,8,g1[IL] g1684 II6509 g2767 II7911 g4096 II8932 g4677 
g971[IL],1,g971[IL] 
g962,1,g962 
g972[IL],1,g972[IL] 
II5757,5,g969[IL] g970[IL] g966[IL] g963[IL] II5757 
g7202,8,g5529 g6028 g5335 g6198 g6639 g1872 g7071 g7202 
II14302,7,g5529 g5836 g6664 g1872 II6970 g3492 II14302 
g1788,2,g984[IL] g1788 
g1015,5,g8685 II15190 g8868 II5416 g1015 
II14851,8,g7191 g7406 g7421 g7566 II14219 g7784 g8630 II14851 
g6110,2,g5335 g6110 
g1865,2,g1013[IL] g1865 
g1864,2,g162[IL] g1864 
g1017,5,g1029[IL] II5471 g1603 II5419 g1017 
g1246,3,g1245[IL] II5425 g1246 
g1724,3,g1409[IL] II5568 g1724 
g1783,3,g891[IL] II5633 g1783 
g1798,3,g921[IL] II5654 g1798 
g1804,3,g916[IL] II5664 g1804 
g1810,3,g911[IL] II5676 g1810 
g1817,3,g906[IL] II5689 g1817 
g1824,3,g901[IL] II5706 g1824 
g1829,3,g896[IL] II5715 g1829 
g1870,3,g963[IL] II5751 g1870 
g1871,3,g966[IL] II5754 g1871 
g1894,3,g1240[IL] II5772 g1894 
g1911,3,g1524[IL] II5789 g1911 
g1944,3,g1081[IL] II5817 g1944 
g2662,5,g1254[IL] II5766 g1886 II6457 g2662 
g2844,3,g576[IL] II6574 g2844 
g2888,5,g1084[IL] II5475 g1612 II6608 g2888 
g3077,5,g1029[IL] II5471 g1603 II6805 g3077 
g3096,3,g287[IL] II6834 g3096 
g3130,3,g368[IL] II6849 g3130 
g3159,3,g449[IL] II6856 g3159 
g3191,3,g530[IL] II6868 g3191 
g3829,7,g1461[IL] II5435 g1558 II6680 g2936 II7290 g3829 
g3859,7,g1461[IL] II5435 g1558 II6959 g3461 II7380 g3859 
g3860,7,g1461[IL] II5435 g1558 II6963 g3465 II7383 g3860 
g4267,5,g1073[IL] g1611 g2655 II8205 g4267 
g4316,3,g878[IL] II8291 g4316 
g4370,3,g1160[IL] II8351 g4370 
g4371,3,g1163[IL] II8354 g4371 
g4372,3,g1182[IL] II8357 g4372 
g4373,3,g1186[IL] II8360 g4373 
g4655,4,II8268 g4303 II8880 g4655 
g2801,8,g936[IL] g2555 g940[IL] g2557 II6538 II6539 II6540 g2801 
g4657,5,g3504 II8277 g4308 II8886 g4657 
g1375[IL],1,g1375[IL] 
g2229,5,g1371[IL] g1372[IL] g1373[IL] g1374[IL] g2229 
g2213,5,g1367[IL] g1368[IL] g1369[IL] g1370[IL] g2213 
g2206,5,g1363[IL] g1364[IL] g1365[IL] g1366[IL] g2206 
g4660,8,g1392[IL] g2343 g1391[IL] g3528 II7987 g4130 II8895 g4660 
g4661,8,g1394[IL] g2263 g1395[IL] g3505 II7888 g4089 II8898 g4661 
g4663,8,g1397[IL] g2359 g1398[IL] g3555 II7981 g4126 II8904 g4663 
g4664,8,g1400[IL] g2282 g1401[IL] g3516 II7908 g4095 II8907 g4664 
g5143,1,g5143 
II9555,8,g1554 II6242 g2380 g3676 g4134 II9250 g4892 II9555 
g5164,5,g4302 II9064 g4742 II9618 g5164 
g5571,3,g1236[IL] II10032 g5571 
g5669,3,g5109 II10154 g5669 
II9493,8,g13[IL] II6358 g2532 II7079 g3611 II8428 g4426 II9493 
g5678,3,g4873 II10169 g5678 
II9217,8,g16[IL] II6363 g2539 II7095 g3630 II8449 g4443 II9217 
g5682,3,g4721 II10177 g5682 
II9025,8,g20[IL] II6368 g2546 II7112 g3640 II8480 g4462 II9025 
g5684,3,g5129 II10183 g5684 
II9531,8,g33[IL] II6371 g2547 II7115 g3641 II8483 g4463 II9531 
g5687,3,g4670 II10190 g5687 
II8925,8,g38[IL] II6376 g2554 II7132 g3652 II8520 g4482 II8925 
g5729,3,II9558 g5144 g5729 
g4597,8,g49 II5428 g1555 g2561 II7287 g3828 II8706 g4597 
g6207,5,g5014 II10236 g5719 II10962 g6207 
II9344,8,g173[IL] II5897 g2157 II7164 g3674 II8308 g4341 II9344 
g6212,5,g5026 II10243 g5726 II10973 g6212 
II9366,8,g1389[IL] II5649 g1795 II7195 g3691 II8315 g4350 II9366 
g6223,4,II10204 g5693 II11008 g6223 
g5060,8,g1486[IL] g1742 II7211 g3721 II8333 g4360 II9422 g5060 
g6236,5,g5113 II9804 g5299 II11037 g6236 
II9499,8,g1189[IL] g16[IL] g1955 II7255 g3783 II8373 g4382 II9499 
g6269,3,g1000 II11090 g6269 
g6425,5,g5258 II10684 g6065 II11556 g6425 
II9774,8,g1034[IL] g1789 g3591 II7746 g4005 II8935 g4678 II9774 
g6648,5,g5668 II10933 g6190 II11926 g6648 
II10151,8,g1251[IL] g1922 g2810 II8543 g4493 II9336 g5007 II10151 
g6653,5,g5677 II10617 g6015 II11939 g6653 
II10166,8,g1250[IL] g1948 g3071 II8565 g4503 II9350 g5016 II10166 
g6675,6,II10207 g5696 II11055 g6246 II11981 g6675 
g5075,8,g1432[IL] g1967 II6791 g3051 II8665 g4564 II9443 g5075 
g6849,2,II12418 g6849 
g6572,8,II7232 II7233 g3760 g4714 g5286 g6056 II11764 g6572 
g2367,6,g831[IL] g891[IL] II6201 II6202 II6203 g2367 
g2352,6,g843[IL] g911[IL] II6170 II6171 II6172 g2352 
g2378,6,g834[IL] g896[IL] II6232 II6233 II6234 g2378 
g2330,6,g846[IL] g916[IL] II6133 II6134 II6135 g2330 
g2315,6,g849[IL] g921[IL] II6102 II6103 II6104 g2315 
g2385,6,g837[IL] g901[IL] II6257 II6258 II6259 g2385 
g2294,6,g852[IL] g883[IL] II6064 II6065 II6066 g2294 
g2395,6,g840[IL] g906[IL] II6273 II6274 II6275 g2395 
g1695,2,g778[IL] g1695 
g6850,6,g5529 g6028 II11648 g6486 II12421 g6850 
g6895,6,II11021 g6228 II11596 g6449 II12558 g6895 
g5627,8,g689[IL] g1831 g3076 II8024 g4153 II8928 g4673 g5627 
g6909,3,g1008 II12592 g6909 
g7048,8,II10125 g5642 II11028 g6231 II11827 g6607 II12810 g7048 
g5127,8,g944[IL] g2371 g855[IL] g1689 g3285 g4413 II9525 g5127 
g7063,7,g5671 II11069 g6256 II11586 g6441 II12826 g7063 
II10160,8,g1405[IL] g1412[IL] g2474 g3340 g4279 II9543 g5139 II10160 
g7103,8,g1872 g5335 g6198 g6745 II12687 g6962 II12897 g7103 
g7283,7,g6472 II12684 g6961 II13039 g7155 II13281 g7283 
g5058,8,g7[IL] II6214 g2372 g3577 II8215 g4273 II9416 g5058 
g5269,6,II8063 II8064 g4176 g4779 II9791 g5269 
g2162,3,g52[IL] II5901 g2162 
g2149,3,g86[IL] II5894 g2149 
g2137,3,g83[IL] II5889 g2137 
g2106,3,g80[IL] II5883 g2106 
g3316,4,g77[IL] g1876 II6930 g3316 
g3287,4,g74[IL] g1869 II6911 g3287 
g3264,4,g71[IL] g1866 II6900 g3264 
g1987,3,g68[IL] II5842 g1987 
g1760,3,g58[IL] II5605 g1760 
g7284,7,g6467 II12690 g6963 II13042 g7156 II13284 g7284 
g5041,8,g6[IL] II6183 g2361 g3560 II8202 g4266 II9393 g5041 
g7285,7,g6476 II12666 g6955 II13045 g7157 II13287 g7285 
g5024,8,g5[IL] II6148 g2344 g3545 II8190 g4257 II9360 g5024 
g7286,7,g6477 II12669 g6956 II13048 g7158 II13290 g7286 
g5013,8,g4[IL] II6112 g2323 g3529 II8180 g4251 II9341 g5013 
g7287,7,g6503 II12696 g6967 II13051 g7159 II13293 g7287 
g5006,8,g2[IL] II6075 g2306 g3524 II8172 g4245 II9333 g5006 
g7288,7,g6504 II12699 g6968 II13057 g7161 II13296 g7288 
g5000,8,g3[IL] II6033 g2283 g3517 II8161 g4242 II9325 g5000 
g7289,7,g6482 II12708 g6973 II13063 g7163 II13299 g7289 
g4692,8,g48[IL] II5535 g1688 g2824 II8486 g4464 II8971 g4692 
g7290,7,g6473 II12672 g6957 II13066 g7164 II13302 g7290 
g5074,8,g8[IL] II6239 g2379 g3588 II8233 g4285 II9440 g5074 
g7291,7,g6497 II12702 g6969 II13072 g7168 II13305 g7291 
g5278,6,II8052 II8053 g4169 g4778 II9794 g5278 
g3238,4,g68[IL] g1863 II6894 g3238 
