NODE,PI?,PO?,NODE DELAY,NODE LABEL
P3_ADDR_REG_18_[IL],Y,N,0,0,
P1_ADDR_REG_18_[IL],Y,N,0,0,
U13170,N,N,1,0,
U16386,N,N,1,0,
U13171,N,N,1,0,
U16385,N,N,1,0,
U13665,N,N,1,0,
P3_ADDR_REG_0_[IL],Y,N,0,0,
U13103,N,N,1,0,
P1_ADDR_REG_0_[IL],Y,N,0,0,
U2746,N,N,1,0,
U2747,N,N,1,0,
P3_ADDR_REG_1_[IL],Y,N,0,0,
U13104,N,N,1,0,
U13812,N,N,1,0,
P1_ADDR_REG_1_[IL],Y,N,0,0,
U13810,N,N,1,0,
U13811,N,N,1,0,
U13107,N,N,1,1,
P3_ADDR_REG_2_[IL],Y,N,0,0,
U13106,N,N,1,0,
U13814,N,N,1,1,
P1_ADDR_REG_2_[IL],Y,N,0,0,
U2523,N,N,1,1,
U13813,N,N,1,1,
U13111,N,N,1,1,
P3_ADDR_REG_3_[IL],Y,N,0,0,
U13110,N,N,1,0,
U13816,N,N,1,1,
P1_ADDR_REG_3_[IL],Y,N,0,0,
U2205,N,N,1,1,
U13815,N,N,1,1,
U13115,N,N,1,2,
P3_ADDR_REG_4_[IL],Y,N,0,0,
U13114,N,N,1,0,
U13818,N,N,1,2,
P1_ADDR_REG_4_[IL],Y,N,0,0,
U2525,N,N,1,2,
U13817,N,N,1,2,
U13119,N,N,1,2,
P3_ADDR_REG_5_[IL],Y,N,0,0,
U13118,N,N,1,0,
U13820,N,N,1,2,
P1_ADDR_REG_5_[IL],Y,N,0,0,
U2204,N,N,1,2,
U13819,N,N,1,2,
U13123,N,N,1,3,
P3_ADDR_REG_6_[IL],Y,N,0,0,
U13122,N,N,1,0,
U13822,N,N,1,3,
P1_ADDR_REG_6_[IL],Y,N,0,0,
U2203,N,N,1,3,
U13821,N,N,1,3,
U13127,N,N,1,3,
P3_ADDR_REG_7_[IL],Y,N,0,0,
U13126,N,N,1,0,
U13824,N,N,1,3,
P1_ADDR_REG_7_[IL],Y,N,0,0,
U2528,N,N,1,3,
U13823,N,N,1,3,
U13131,N,N,1,4,
P3_ADDR_REG_8_[IL],Y,N,0,0,
U13130,N,N,1,0,
U13826,N,N,1,4,
