NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE,CLUSTER CONTENTS
P3_ADDR_REG_18_[IL],Y,N,0,0,1,P3_ADDR_REG_18_[IL] 
P1_ADDR_REG_18_[IL],Y,N,0,0,1,P1_ADDR_REG_18_[IL] 
U13170,N,N,1,1,2,U13170 P1_ADDR_REG_18_[IL] 
U16386,N,N,1,2,4,U16386 U13170 P1_ADDR_REG_18_[IL] P3_ADDR_REG_18_[IL] 
U13171,N,N,1,1,2,U13171 P3_ADDR_REG_18_[IL] 
U16385,N,N,1,2,4,U16385 U13171 P3_ADDR_REG_18_[IL] P1_ADDR_REG_18_[IL] 
U13665,N,N,1,3,7,U13665 U16385 U13171 U16386 U13170 P1_ADDR_REG_18_[IL] P3_ADDR_REG_18_[IL] 
P3_ADDR_REG_0_[IL],Y,N,0,0,1,P3_ADDR_REG_0_[IL] 
U13103,N,N,1,1,2,U13103 P3_ADDR_REG_0_[IL] 
P1_ADDR_REG_0_[IL],Y,N,0,0,1,P1_ADDR_REG_0_[IL] 
U2746,N,N,1,2,4,U2746 U13103 P3_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] 
U2747,N,N,1,3,5,U2747 U2746 U13103 P3_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] 
P3_ADDR_REG_1_[IL],Y,N,0,0,1,P3_ADDR_REG_1_[IL] 
U13104,N,N,1,1,2,U13104 P3_ADDR_REG_1_[IL] 
U13812,N,N,1,4,8,U13812 U2747 U2746 U13103 P3_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] U13104 P3_ADDR_REG_1_[IL] 
P1_ADDR_REG_1_[IL],Y,N,0,0,1,P1_ADDR_REG_1_[IL] 
U13810,N,N,1,3,6,U13810 U2746 U13103 P3_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] P3_ADDR_REG_1_[IL] 
U13811,N,N,1,4,8,U13811 U13810 U2746 U13103 P3_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] P3_ADDR_REG_1_[IL] P1_ADDR_REG_1_[IL] 
U13107,N,N,1,7,8,U13107 U13811 U13810 U13812 U2747 U2746 U13103 P3_ADDR_REG_0_[IL] 
