CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
g206,8,g206 II5353 g3833 II7302 g2825 II6553 g2246 II5989 
g291,8,g291 II5356 g3837 II7314 g2916 II6646 g2246 II5989 
g372,8,g372 II5359 g3839 II7320 g2927 II6663 g2246 II5989 
g453,8,g453 II5362 g3841 II7326 g2940 II6686 g2246 II5989 
g534,8,g534 II5365 g3843 II7332 g2947 II6695 g2246 II5989 
g594,8,g594 II5368 g3853 II7362 g2933 II6673 g2246 II5989 
g785,8,g785 II5407 g4653 II8874 g3884 II7417 g3659 g2293 
g1006,8,g1006 II5410 g8866 II15184 g8684 II14848 g8625 g8009 
g1015,8,g1015 II5416 g8868 II15190 g8685 II14851 g8630 g7784 
g1017,5,g1017 II5419 g1603 II5471 g1029[IL] 
g1246,3,g1246 II5425 g1245[IL] 
g1724,3,g1724 II5568 g1409[IL] 
g1783,3,g1783 II5633 g891[IL] 
g1798,3,g1798 II5654 g921[IL] 
g1804,3,g1804 II5664 g916[IL] 
g1810,3,g1810 II5676 g911[IL] 
g1817,3,g1817 II5689 g906[IL] 
g1824,3,g1824 II5706 g901[IL] 
g1829,3,g1829 II5715 g896[IL] 
g1870,3,g1870 II5751 g963[IL] 
g1871,3,g1871 II5754 g966[IL] 
g1894,3,g1894 II5772 g1240[IL] 
g1911,3,g1911 II5789 g1524[IL] 
g1944,3,g1944 II5817 g1081[IL] 
g2662,5,g2662 II6457 g1886 II5766 g1254[IL] 
g2844,3,g2844 II6574 g576[IL] 
g2888,5,g2888 II6608 g1612 II5475 g1084[IL] 
g3077,5,g3077 II6805 g1603 II5471 g1029[IL] 
g3096,3,g3096 II6834 g287[IL] 
g3130,3,g3130 II6849 g368[IL] 
g3159,3,g3159 II6856 g449[IL] 
g3191,3,g3191 II6868 g530[IL] 
g3829,7,g3829 II7290 g2936 II6680 g1558 II5435 g1461[IL] 
g3859,7,g3859 II7380 g3461 II6959 g1558 II5435 g1461[IL] 
g3860,7,g3860 II7383 g3465 II6963 g1558 II5435 g1461[IL] 
g4267,5,g4267 II8205 g2655 g1611 g1073[IL] 
g4316,3,g4316 II8291 g878[IL] 
g4370,3,g4370 II8351 g1160[IL] 
g4371,3,g4371 II8354 g1163[IL] 
g4372,3,g4372 II8357 g1182[IL] 
g4373,3,g4373 II8360 g1186[IL] 
g4655,8,g4655 II8880 g4303 II8268 g2801 II6540 II6539 II6538 
g4657,8,g4657 II8886 g4308 II8277 g3504 g2206 g1366[IL] g1365[IL] 
g4660,8,g4660 II8895 g4130 II7987 g3528 g2343 g1392[IL] g1391[IL] 
g4661,8,g4661 II8898 g4089 II7888 g3505 g2263 g1394[IL] g1395[IL] 
g4663,8,g4663 II8904 g4126 II7981 g3555 g2359 g1397[IL] g1398[IL] 
g4664,8,g4664 II8907 g4095 II7908 g3516 g2282 g1400[IL] g1401[IL] 
g5143,8,g5143 II9555 g4892 II9250 g4134 g3676 g2380 II6242 
g5164,8,g5164 II9618 g4742 II9064 g4302 g3124 g1857 g889[IL] 
g5571,3,g5571 II10032 g1236[IL] 
g5669,8,g5669 II10154 g5109 II9493 g4426 II8428 g3611 II7079 
g5678,8,g5678 II10169 g4873 II9217 g4443 II8449 g3630 II7095 
g5682,8,g5682 II10177 g4721 II9025 g4462 II8480 g3640 II7112 
g5684,8,g5684 II10183 g5129 II9531 g4463 II8483 g3641 II7115 
g5687,8,g5687 II10190 g4670 II8925 g4482 II8520 g3652 II7132 
g5729,8,g5729 g5144 II9558 g4597 II8706 g3828 II7287 g2561 
g6207,8,g6207 II10962 g5719 II10236 g5014 II9344 g4341 II8308 
g6212,8,g6212 II10973 g5726 II10243 g5026 II9366 g4350 II8315 
g6223,8,g6223 II11008 g5693 II10204 g5060 II9422 g4360 II8333 
g6236,8,g6236 II11037 g5299 II9804 g5113 II9499 g4382 II8373 
g6269,3,g6269 II11090 g1000 
g6425,8,g6425 II11556 g6065 II10684 g5258 II9774 g4678 II8935 
g6648,8,g6648 II11926 g6190 II10933 g5668 II10151 g5007 II9336 
g6653,8,g6653 II11939 g6015 II10617 g5677 II10166 g5016 II9350 
g6675,8,g6675 II11981 g6246 II11055 g5696 II10207 g5075 II9443 
g6849,8,g6849 II12418 g6572 II11764 g6056 g5286 g4714 g3760 
g6850,8,g6850 II12421 g6486 II11648 g6028 g5529 g4689 II8966 
g6895,8,g6895 II12558 g6449 II11596 g6228 II11021 g5627 g4673 
g6909,3,g6909 II12592 g1008 
g7048,8,g7048 II12810 g6607 II11827 g6231 II11028 g5642 II10125 
g7063,8,g7063 II12826 g6441 II11586 g6256 II11069 g5671 II10160 
g7103,8,g7103 II12897 g6962 II12687 g6745 g6198 g5335 g4677 
g7283,8,g7283 II13281 g7155 II13039 g6961 II12684 g6472 g5971 
g7284,8,g7284 II13284 g7156 II13042 g6963 II12690 g6467 g5956 
g7285,8,g7285 II13287 g7157 II13045 g6955 II12666 g6476 g5939 
g7286,8,g7286 II13290 g7158 II13048 g6956 II12669 g6477 g5918 
g7287,8,g7287 II13293 g7159 II13051 g6967 II12696 g6503 g5897 
g7288,8,g7288 II13296 g7161 II13057 g6968 II12699 g6504 g5874 
g7289,8,g7289 II13299 g7163 II13063 g6973 II12708 g6482 g5847 
g7290,8,g7290 II13302 g7164 II13066 g6957 II12672 g6473 g5988 
g7291,8,g7291 II13305 g7168 II13072 g6969 II12702 g6497 g5847 
g7292,8,g7292 II13308 g7169 II13075 g6958 II12675 g6510 g5874 
g7293,8,g7293 II13311 g7162 II13060 g6959 II12678 g6516 g5897 
g7294,8,g7294 II13314 g7160 II13054 g6960 II12681 g6469 g5918 
g7295,8,g7295 II13317 g7211 II13147 g7024 II12782 g6463 g5918 
g7298,8,g7298 II13326 g7176 II13084 g7071 g6639 g6198 g5335 
g7423,3,g7423 II13544 g1167[IL] 
g7424,3,g7424 II13547 g1170[IL] 
g7425,3,g7425 II13550 g1173[IL] 
g7474,8,g7474 II13628 g7248 g7079 g6677 II11987 g6278 II11129 
g7504,8,g7504 II13692 g7343 II13447 g7261 II13225 g7095 II12877 
g7505,8,g7505 II13695 g7345 II13451 g7262 II13228 g6892 II12547 
g7506,8,g7506 II13698 g7348 II13460 g7263 II13231 g6897 II12564 
g7507,8,g7507 II13701 g7349 II13463 g7264 II13234 g6898 II12567 
g7508,8,g7508 II13704 g7352 II13472 g7266 II13238 g6900 II12571 
g7514,8,g7514 II13722 g7442 II13583 g7252 g6977 g6664 g5836 
g7729,8,g7729 II14058 g7544 II13816 g7455 II13613 g7273 II13255 
g7730,8,g7730 II14061 g7546 II13822 g7459 II13617 g7276 II13264 
g7731,8,g7731 II14064 g7556 II13846 g7487 II13649 g7281 II13277 
g7732,8,g7732 II14067 g7550 II13834 g7466 II13622 g7279 II13271 
g8216,8,g8216 II14427 g7835 II14257 g7716 II14025 g7500 II13676 
g8217,8,g8217 II14430 g7836 II14260 g7717 II14028 g7501 II13679 
g8218,8,g8218 II14433 g8061 II14330 g7538 II13794 g7346 II13454 
