CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
DATAO_31_,2,DATAO_31_ P3_DATAO_REG_31_[IL] 
DATAO_30_,2,DATAO_30_ P3_DATAO_REG_30_[IL] 
DATAO_29_,2,DATAO_29_ P3_DATAO_REG_29_[IL] 
DATAO_28_,2,DATAO_28_ P3_DATAO_REG_28_[IL] 
DATAO_27_,2,DATAO_27_ P3_DATAO_REG_27_[IL] 
DATAO_26_,2,DATAO_26_ P3_DATAO_REG_26_[IL] 
DATAO_25_,2,DATAO_25_ P3_DATAO_REG_25_[IL] 
DATAO_24_,2,DATAO_24_ P3_DATAO_REG_24_[IL] 
DATAO_23_,2,DATAO_23_ P3_DATAO_REG_23_[IL] 
DATAO_22_,2,DATAO_22_ P3_DATAO_REG_22_[IL] 
DATAO_21_,2,DATAO_21_ P3_DATAO_REG_21_[IL] 
DATAO_20_,2,DATAO_20_ P3_DATAO_REG_20_[IL] 
DATAO_19_,2,DATAO_19_ P3_DATAO_REG_19_[IL] 
DATAO_18_,2,DATAO_18_ P3_DATAO_REG_18_[IL] 
DATAO_17_,2,DATAO_17_ P3_DATAO_REG_17_[IL] 
DATAO_16_,2,DATAO_16_ P3_DATAO_REG_16_[IL] 
DATAO_15_,2,DATAO_15_ P3_DATAO_REG_15_[IL] 
DATAO_14_,2,DATAO_14_ P3_DATAO_REG_14_[IL] 
DATAO_13_,2,DATAO_13_ P3_DATAO_REG_13_[IL] 
DATAO_12_,2,DATAO_12_ P3_DATAO_REG_12_[IL] 
DATAO_11_,2,DATAO_11_ P3_DATAO_REG_11_[IL] 
DATAO_10_,2,DATAO_10_ P3_DATAO_REG_10_[IL] 
DATAO_9_,2,DATAO_9_ P3_DATAO_REG_9_[IL] 
DATAO_8_,2,DATAO_8_ P3_DATAO_REG_8_[IL] 
DATAO_7_,2,DATAO_7_ P3_DATAO_REG_7_[IL] 
DATAO_6_,2,DATAO_6_ P3_DATAO_REG_6_[IL] 
DATAO_5_,2,DATAO_5_ P3_DATAO_REG_5_[IL] 
DATAO_4_,2,DATAO_4_ P3_DATAO_REG_4_[IL] 
DATAO_3_,2,DATAO_3_ P3_DATAO_REG_3_[IL] 
DATAO_2_,2,DATAO_2_ P3_DATAO_REG_2_[IL] 
DATAO_1_,2,DATAO_1_ P3_DATAO_REG_1_[IL] 
DATAO_0_,2,DATAO_0_ P3_DATAO_REG_0_[IL] 
ADDRESS1_29_,2,ADDRESS1_29_ P1_ADDRESS_REG_29_[IL] 
