NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE
P3_ADDR_REG_18_[IL],Y,N,0,0,1
P1_ADDR_REG_18_[IL],Y,N,0,0,1
U13170,N,N,1,1,2
U16386,N,N,1,2,4
U13171,N,N,1,1,2
U16385,N,N,1,2,4
U13665,N,N,1,3,7
P3_ADDR_REG_0_[IL],Y,N,0,0,1
U13103,N,N,1,1,2
P1_ADDR_REG_0_[IL],Y,N,0,0,1
U2746,N,N,1,2,4
U2747,N,N,1,3,5
P3_ADDR_REG_1_[IL],Y,N,0,0,1
U13104,N,N,1,1,2
U13812,N,N,1,4,8
P1_ADDR_REG_1_[IL],Y,N,0,0,1
U13810,N,N,1,3,6
U13811,N,N,1,4,8
U13107,N,N,1,5,12
P3_ADDR_REG_2_[IL],Y,N,0,0,1
U13106,N,N,1,1,2
U13814,N,N,1,6,15
P1_ADDR_REG_2_[IL],Y,N,0,0,1
U2523,N,N,1,6,15
U13813,N,N,1,7,17
U13111,N,N,1,8,19
P3_ADDR_REG_3_[IL],Y,N,0,0,1
U13110,N,N,1,1,2
U13816,N,N,1,9,22
P1_ADDR_REG_3_[IL],Y,N,0,0,1
U2205,N,N,1,8,20
U13815,N,N,1,9,22
U13115,N,N,1,10,26
P3_ADDR_REG_4_[IL],Y,N,0,0,1
U13114,N,N,1,1,2
U13818,N,N,1,11,29
P1_ADDR_REG_4_[IL],Y,N,0,0,1
U2525,N,N,1,11,29
U13817,N,N,1,12,31
U13119,N,N,1,13,33
P3_ADDR_REG_5_[IL],Y,N,0,0,1
U13118,N,N,1,1,2
U13820,N,N,1,14,36
P1_ADDR_REG_5_[IL],Y,N,0,0,1
U2204,N,N,1,13,34
U13819,N,N,1,14,36
U13123,N,N,1,15,40
P3_ADDR_REG_6_[IL],Y,N,0,0,1
U13122,N,N,1,1,2
U13822,N,N,1,16,43
P1_ADDR_REG_6_[IL],Y,N,0,0,1
U2203,N,N,1,15,41
U13821,N,N,1,16,43
U13127,N,N,1,17,47
P3_ADDR_REG_7_[IL],Y,N,0,0,1
U13126,N,N,1,1,2
U13824,N,N,1,18,50
P1_ADDR_REG_7_[IL],Y,N,0,0,1
U2528,N,N,1,18,50
U13823,N,N,1,19,52
U13131,N,N,1,20,54
P3_ADDR_REG_8_[IL],Y,N,0,0,1
U13130,N,N,1,1,2
U13826,N,N,1,21,57
P1_ADDR_REG_8_[IL],Y,N,0,0,1
U2202,N,N,1,20,55
U13825,N,N,1,21,57
U13135,N,N,1,22,61
P3_ADDR_REG_9_[IL],Y,N,0,0,1
U13134,N,N,1,1,2
U13860,N,N,1,23,64
P1_ADDR_REG_9_[IL],Y,N,0,0,1
U2530,N,N,1,23,64
U13859,N,N,1,24,64
U13139,N,N,1,25,64
P3_ADDR_REG_10_[IL],Y,N,0,0,1
