CLUSTER ROOT NODE,CLUSTER SIZE
SO_19_,64
SO_18_,64
SO_17_,64
SO_16_,64
SO_15_,64
SO_14_,64
SO_13_,64
SO_12_,64
SO_11_,64
SO_10_,64
SO_9_,64
SO_8_,64
SO_7_,64
SO_6_,64
SO_5_,64
SO_4_,64
SO_3_,64
SO_2_,50
SO_1_,27
SO_0_,12
RD,9
WR,9
U4382[OL],37
U4408[OL],64
U5349[OL],64
U12934[OL],64
U12935[OL],64
U1923[OL],64
U2135[OL],64
U12936[OL],64
U12937[OL],64
U4377[OL],64
U5390[OL],64
U4395[OL],64
U4381[OL],64
U1925[OL],64
U4400[OL],64
U12938[OL],64
U4389[OL],64
U2101[OL],64
U4693[OL],64
U1949[OL],64
U12939[OL],64
U442[OL],64
U2137[OL],64
U1930[OL],64
U1933[OL],64
U1967[OL],64
U1927[OL],64
U4586[OL],64
U4513[OL],64
U5418[OL],64
U6513[OL],64
U4374[OL],64
U13646[OL],64
U13645[OL],64
U12904[OL],64
U12905[OL],64
U12906[OL],64
U12907[OL],64
U12908[OL],64
U12909[OL],64
U12910[OL],64
U12911[OL],64
U12912[OL],64
U12913[OL],64
U12914[OL],64
U12915[OL],64
U12916[OL],64
U12917[OL],64
U12918[OL],64
U12919[OL],64
U12920[OL],64
U12921[OL],64
U12922[OL],64
U12923[OL],64
U12924[OL],64
U12925[OL],64
U12926[OL],64
U12927[OL],64
U12928[OL],64
U12929[OL],64
U12930[OL],64
U12931[OL],64
U12932[OL],64
U12933[OL],64
U13644[OL],64
U13643[OL],64
U13642[OL],64
U13641[OL],64
U13640[OL],64
U13639[OL],64
U13638[OL],64
U13637[OL],64
U13636[OL],64
U13635[OL],64
U13634[OL],64
U13633[OL],64
U13632[OL],64
U13631[OL],64
U13630[OL],64
U13629[OL],64
U13628[OL],64
U13627[OL],64
U13626[OL],64
U13625[OL],64
U13624[OL],64
U13623[OL],64
U6512[OL],64
U6511[OL],64
U6510[OL],64
U6509[OL],64
U6508[OL],64
U6507[OL],64
U6506[OL],64
U3538[OL],64
U6505[OL],64
U6504[OL],64
U13622[OL],64
U13621[OL],64
U13620[OL],64
U13619[OL],64
U13618[OL],64
U13617[OL],64
U13616[OL],64
U13615[OL],64
U13614[OL],64
U13613[OL],64
U13612[OL],64
U13611[OL],64
U13610[OL],64
U13609[OL],64
U13608[OL],64
